timestamp_unix,datetime_utc,increase_2_0_march_2026_yes
1771027229,2026-02-14T00:00:29+00:00,0.405
1771113627,2026-02-15T00:00:27+00:00,0.145
1771200038,2026-02-16T00:00:38+00:00,0.125
1771286427,2026-02-17T00:00:27+00:00,0.06
1771372829,2026-02-18T00:00:29+00:00,0.06
1771459230,2026-02-19T00:00:30+00:00,0.06
1771545630,2026-02-20T00:00:30+00:00,0.06
1771632023,2026-02-21T00:00:23+00:00,0.06
1771718423,2026-02-22T00:00:23+00:00,0.045
1771804825,2026-02-23T00:00:25+00:00,0.045
1771891225,2026-02-24T00:00:25+00:00,0.05
1771977627,2026-02-25T00:00:27+00:00,0.0635
1772064026,2026-02-26T00:00:26+00:00,0.0965
1772150430,2026-02-27T00:00:30+00:00,0.0555
1772236832,2026-02-28T00:00:32+00:00,0.0265
1772323237,2026-03-01T00:00:37+00:00,0.1255
1772409643,2026-03-02T00:00:43+00:00,0.129
1772496033,2026-03-03T00:00:33+00:00,0.045
1772582435,2026-03-04T00:00:35+00:00,0.068
1772668832,2026-03-05T00:00:32+00:00,0.0155
1772755231,2026-03-06T00:00:31+00:00,0.012
1772841635,2026-03-07T00:00:35+00:00,0.0105
1772928030,2026-03-08T00:00:30+00:00,0.012
1773014425,2026-03-09T00:00:25+00:00,0.0135
1773100830,2026-03-10T00:00:30+00:00,0.023
1773187234,2026-03-11T00:00:34+00:00,0.013
1773273633,2026-03-12T00:00:33+00:00,0.006
1773360050,2026-03-13T00:00:50+00:00,0.0035
1773446452,2026-03-14T00:00:52+00:00,0.0025
1773532856,2026-03-15T00:00:56+00:00,0.0025
1773705642,2026-03-17T00:00:42+00:00,0.003
1773792044,2026-03-18T00:00:44+00:00,0.0035
1773878459,2026-03-19T00:00:59+00:00,0.004
1773964848,2026-03-20T00:00:48+00:00,0.0055
1774051247,2026-03-21T00:00:47+00:00,0.0045
1774137645,2026-03-22T00:00:45+00:00,0.005
1774224038,2026-03-23T00:00:38+00:00,0.003
1774310434,2026-03-24T00:00:34+00:00,0.0035
1774396833,2026-03-25T00:00:33+00:00,0.003
1774483237,2026-03-26T00:00:37+00:00,0.0035
1774569648,2026-03-27T00:00:48+00:00,0.0025
1774656052,2026-03-28T00:00:52+00:00,0.0025
1774742457,2026-03-29T00:00:57+00:00,0.006
1775692832,2026-04-09T00:00:32+00:00,0.003
