timestamp_unix,datetime_utc,increase_3_5_may_2026_no
1778630414,2026-05-13T00:00:14+00:00,0.845
1778716818,2026-05-14T00:00:18+00:00,0.98
1778803211,2026-05-15T00:00:11+00:00,0.9835
1778889618,2026-05-16T00:00:18+00:00,0.9775
1778976029,2026-05-17T00:00:29+00:00,0.9945
1779062413,2026-05-18T00:00:13+00:00,0.9965
1779148809,2026-05-19T00:00:09+00:00,0.9965
1779235214,2026-05-20T00:00:14+00:00,0.997
1779321615,2026-05-21T00:00:15+00:00,0.991
1779408018,2026-05-22T00:00:18+00:00,0.9915
1779494412,2026-05-23T00:00:12+00:00,0.994
1779580808,2026-05-24T00:00:08+00:00,0.9955
1779667208,2026-05-25T00:00:08+00:00,0.995
1779753608,2026-05-26T00:00:08+00:00,0.994
1779840009,2026-05-27T00:00:09+00:00,0.994
1779926413,2026-05-28T00:00:13+00:00,0.993
1780012814,2026-05-29T00:00:14+00:00,0.994
1780099222,2026-05-30T00:00:22+00:00,0.994
1780185612,2026-05-31T00:00:12+00:00,0.9925
1780272007,2026-06-01T00:00:07+00:00,0.993
1780358408,2026-06-02T00:00:08+00:00,0.9945
1780444808,2026-06-03T00:00:08+00:00,0.9965
1780531206,2026-06-04T00:00:06+00:00,0.998
1780617619,2026-06-05T00:00:19+00:00,0.999
1780704004,2026-06-06T00:00:04+00:00,0.9985
1780790415,2026-06-07T00:00:15+00:00,0.9985
1780876805,2026-06-08T00:00:05+00:00,0.9985
1780963206,2026-06-09T00:00:06+00:00,0.9985
1781049607,2026-06-10T00:00:07+00:00,0.9985
