datetime_utc,increase_max_3_3_may_2026_no,increase_max_3_3_may_2026_yes,increase_3_4_may_2026_no,increase_3_4_may_2026_yes,increase_3_5_may_2026_no,increase_3_5_may_2026_yes,increase_3_6_may_2026_no,increase_3_6_may_2026_yes,increase_3_7_may_2026_no,increase_3_7_may_2026_yes,increase_3_8_may_2026_no,increase_3_8_may_2026_yes,increase_3_9_may_2026_no,increase_3_9_may_2026_yes,increase_4_0_may_2026_no,increase_4_0_may_2026_yes,increase_4_1_may_2026_no,increase_4_1_may_2026_yes,increase_4_2_may_2026_no,increase_4_2_may_2026_yes,increase_4_3_may_2026_no,increase_4_3_may_2026_yes,increase_4_4_may_2026_no,increase_4_4_may_2026_yes
2026-05-13,,0.025,,,,0.155,,0.15,,,0.785,,,,,,0.68,,0.68,,,,,
2026-05-13,,,,,,,,,,,,,,,,,,0.32,,,0.745,,,
2026-05-13,,,,,,,,,,,,,0.795,,,,,,,,,,,
2026-05-13,0.975,,,,,,,,,,,,,,,0.275,,,,0.32,,,,0.25
2026-05-13,,,,,0.845,,,,,,,,,,,,,,,,,,,
2026-05-13,,,,0.0255,,,0.85,,,0.155,,0.215,,0.205,,,,,,,,,0.75,
2026-05-13,,,0.9745,,,,,,0.845,,,,,,0.725,,,,,,,0.255,,
2026-05-14,,0.007,,,,0.02,,0.012,,,0.9755,,,,,,0.9,,0.77,,,,,
2026-05-14,,,,,,,,,,,,,,,,,,,,,0.71,,,
2026-05-14,,,,,,,,,,,,,0.96,,,,,0.1,,,,,,
2026-05-14,0.993,,,,0.98,,,,,,,,,,,0.0305,,,,0.23,,,,0.3
2026-05-14,,,,,,,,,,,,0.0245,,,,,,,,,,,0.7,
2026-05-14,,,,,,,,,,,,,,0.04,,,,,,,,,,
2026-05-14,,,0.991,0.009,,,0.988,,,0.023,,,,,,,,,,,,,,
2026-05-14,,,,,,,,,0.977,,,,,,0.9695,,,,,,,0.29,,
2026-05-15,,0.02,,,,0.0165,,0.0045,,,0.9915,,,,,,0.925,,0.775,,,,,
2026-05-15,,,,,,,,,,,,,0.9685,,,,,0.075,,,0.725,,,
2026-05-15,,,,,,,,,,,,,,,,0.0235,,,,,,,,0.305
2026-05-15,0.98,,,,0.9835,,,,,,,0.0085,,,,,,,,0.225,,,0.695,
2026-05-15,,,,0.0085,,,0.9955,,,0.016,,,,0.0315,,,,,,,,,,
2026-05-15,,,0.9915,,,,,,0.984,,,,,,0.9765,,,,,,,0.275,,
2026-05-16,,0.02,,,,0.0225,,0.005,,,0.991,,,,,,0.92,,0.765,,0.695,,,
2026-05-16,,,,,,,,,,,,,0.964,,,,,0.08,,,,,,
