Model,Volatility Regime,N,MSE,MAE,MAPE,R2,QLIKE,Directional Accuracy
lstm_bayesoptimization_h5_con PM,Low (<20),48,7.97979938,2.06853133,0.119490593,-4.456813147,0.010511419,58.33333333
lstm_bayesoptimization_h5_con PM,Medium (20-30),25,53.03203704,6.638731331,0.268632313,-7.034088643,0.069269436,56
lstm_bayesoptimization_h5_con PM,High (>30),1,194.6579851,13.95198857,0.449339417,,0.219364032,0
lstm_bayesoptimization_h5_senza PM,Low (<20),48,6.945367439,2.054593349,0.1180672,-3.749439246,0.009755021,56.25
lstm_bayesoptimization_h5_senza PM,Medium (20-30),25,52.36843448,6.560980215,0.265919668,-6.93355617,0.069357931,52
lstm_bayesoptimization_h5_senza PM,High (>30),1,195.045112,13.96585522,0.449786008,,0.220026682,0
lstm_gridsearch_h5_con PM,Low (<20),48,2.294126226,1.194681949,0.066594255,-0.568788582,0.003873141,58.33333333
lstm_gridsearch_h5_con PM,Medium (20-30),25,48.07920274,6.408738026,0.260819475,-6.283758993,0.061997019,52
lstm_gridsearch_h5_con PM,High (>30),1,161.5501602,12.7102384,0.409347463,,0.166515399,0
lstm_gridsearch_h5_senza PM,Low (<20),48,3.406588953,1.527572093,0.085704172,-1.329522147,0.005875716,54.16666667
lstm_gridsearch_h5_senza PM,Medium (20-30),25,46.31504145,6.309920247,0.256947155,-6.016497372,0.059188428,48
lstm_gridsearch_h5_senza PM,High (>30),1,162.3252265,12.74069176,0.410328247,,0.167669499,0
random_forest_bayesoptimization_h5_con PM,Low (<20),48,7.230168629,2.141771693,0.12429344,-3.944194378,0.009457765,54.16666667
random_forest_bayesoptimization_h5_con PM,Medium (20-30),25,27.52468576,4.645747438,0.188018952,-3.169852369,0.031255402,56
random_forest_bayesoptimization_h5_con PM,High (>30),1,58.645204,7.65801567,0.246634971,,0.044172378,0
random_forest_bayesoptimization_h5_senza PM,Low (<20),48,6.35414127,2.088385511,0.12080478,-3.345142024,0.008354353,56.25
random_forest_bayesoptimization_h5_senza PM,Medium (20-30),25,23.96574385,4.184534642,0.168186758,-2.630690451,0.027025182,56
random_forest_bayesoptimization_h5_senza PM,High (>30),1,74.83912311,8.65096082,0.278613882,,0.059639434,0
random_forest_gridsearch_h5_con PM,Low (<20),48,8.063887412,2.335170988,0.135390164,-4.514314928,0.010522027,50
random_forest_gridsearch_h5_con PM,Medium (20-30),25,28.90182142,4.808722427,0.195143906,-3.37848154,0.033312536,56
random_forest_gridsearch_h5_con PM,High (>30),1,59.67327508,7.7248479,0.248787378,,0.045114492,0
random_forest_gridsearch_h5_senza PM,Low (<20),48,6.113581327,2.055927037,0.118972378,-3.180640311,0.008097714,54.16666667
random_forest_gridsearch_h5_senza PM,Medium (20-30),25,24.5976607,4.286291943,0.17224216,-2.726422696,0.027528577,56
random_forest_gridsearch_h5_senza PM,High (>30),1,87.91895741,9.37651094,0.301981036,,0.073116826,0
tft_bayesoptimization_h5_con PM,Low (<20),48,2.600799908,1.321853141,0.072563243,-0.778500744,0.004469336,64.58333333
tft_bayesoptimization_h5_con PM,Medium (20-30),25,59.97912968,7.170517044,0.291986933,-8.086538468,0.083550059,52
tft_bayesoptimization_h5_con PM,High (>30),1,205.1761395,14.3239708,0.461319522,,0.237755357,0
tft_bayesoptimization_h5_senza PM,Low (<20),48,2.957366924,1.377417922,0.077142793,-1.022331383,0.00486806,60.41666667
tft_bayesoptimization_h5_senza PM,Medium (20-30),25,52.86904277,6.634935912,0.268810078,-7.009395826,0.069983423,52
tft_bayesoptimization_h5_senza PM,High (>30),1,204.7239016,14.30817604,0.460810834,,0.236947859,0
tft_gridsearch_h5_con PM,Low (<20),48,4.08384275,1.660262862,0.093125659,-1.792647502,0.006440406,60.41666667
tft_gridsearch_h5_con PM,Medium (20-30),25,54.38640164,6.78051445,0.275544821,-7.239268113,0.073048557,48
tft_gridsearch_h5_con PM,High (>30),1,247.5545912,15.73386765,0.506726829,,0.320582095,0
tft_gridsearch_h5_senza PM,Low (<20),48,4.482554532,1.625774621,0.091626469,-2.065297928,0.006818528,58.33333333
tft_gridsearch_h5_senza PM,Medium (20-30),25,53.64113336,6.721766967,0.27346419,-7.126363691,0.072076258,52
tft_gridsearch_h5_senza PM,High (>30),1,190.1731734,13.79032898,0.444132989,,0.211765248,0
xgboost_bayesoptimization_h5_con PM,Low (<20),48,11.4432709,2.611974575,0.149301515,-6.825233207,0.012969041,50
xgboost_bayesoptimization_h5_con PM,Medium (20-30),25,20.63562954,3.71042095,0.151125078,-2.126194771,0.023373399,64
xgboost_bayesoptimization_h5_con PM,High (>30),1,23.16157346,4.81264724,0.154996694,,0.015012583,0
xgboost_bayesoptimization_h5_senza PM,Low (<20),48,6.949576276,2.142796046,0.121889669,-3.752317368,0.008478173,52.08333333
xgboost_bayesoptimization_h5_senza PM,Medium (20-30),25,25.38621076,4.134806796,0.168008276,-2.84588409,0.029972284,56
xgboost_bayesoptimization_h5_senza PM,High (>30),1,23.39181196,4.83650824,0.155765165,,0.015179963,0
xgboost_gridsearch_h5_con PM,Low (<20),48,3.569454504,1.470723381,0.086353555,-1.44089423,0.005176535,52.08333333
xgboost_gridsearch_h5_con PM,Medium (20-30),25,27.86110651,4.743820356,0.192318034,-3.220818432,0.031565933,56
xgboost_gridsearch_h5_con PM,High (>30),1,85.95723065,9.27131224,0.298592994,,0.071038795,0
xgboost_gridsearch_h5_senza PM,Low (<20),48,2.651839212,1.323470305,0.077500045,-0.813402867,0.004000981,54.16666667
xgboost_gridsearch_h5_senza PM,Medium (20-30),25,29.05325289,4.877410196,0.197458686,-3.401422652,0.032931982,52
xgboost_gridsearch_h5_senza PM,High (>30),1,102.2091123,10.10985224,0.325599114,,0.088867019,0
