Model,Volatility Regime,N,MSE,MAE,MAPE,R2,QLIKE,Directional Accuracy
arima_h22_con_PM,Low (<20),38,50.96999691243451,5.790854236304732,0.3316617974477491,-35.21087950388674,0.04530901222110424,44.73684210526316
arima_h22_con_PM,Medium (20-30),18,55.45784290526078,7.071005063079375,0.28009263436036785,-10.520534206924088,0.07166147669497469,50.0
arima_h22_con_PM,High (>30),1,165.12686341661393,12.850169781625997,0.41385410937697653,,0.1718733404988415,0.0
arima_h22_senza_PM,Low (<20),50,26.576210043804462,4.345622780955124,0.2488527550887472,-17.326660331362486,0.02904965023591829,48.0
arima_h22_senza_PM,Medium (20-30),27,35.14927144436368,5.599761286811515,0.2342870448865168,-4.269689887900028,0.04506059677839642,48.148148148148145
arima_h22_senza_PM,High (>30),1,129.62851676827782,11.38545197909498,0.366681232134387,,0.12220228118950605,0.0
har_h22_con_PM,Low (<20),46,6.168619313296179,1.9587023364331044,0.10926300001733882,-3.0507830149764175,0.007474770138872066,52.17391304347826
har_h22_con_PM,Medium (20-30),25,11.576363275923633,2.753385481760713,0.11151531116705313,-0.7537611962542308,0.011355199984101106,52.0
har_h22_con_PM,High (>30),1,78.8390432620844,8.879135276708222,0.2859624957822776,,0.06366686973856894,0.0
har_h22_senza_PM,Low (<20),46,3.2877528680038304,1.4284131444549872,0.07970380577334878,-1.1589877408131883,0.005216207952536141,63.04347826086957
har_h22_senza_PM,Medium (20-30),25,42.30285769407823,6.010658452742836,0.24490354601417305,-5.408671578995508,0.053002172130511054,44.0
har_h22_senza_PM,High (>30),1,168.11259714084738,12.96582419828556,0.41757888939277027,,0.17640919580196757,0.0
lstm_bayesoptimization_h22_con_PM,Low (<20),64,4.495185794535187,1.679895538473703,0.09699355743853201,-1.8778268918589127,0.006496391309056635,62.5
lstm_bayesoptimization_h22_con_PM,Medium (20-30),28,36.71810943709327,5.459531437536652,0.22442808170439713,-4.350937572032046,0.0455790120393077,53.57142857142857
lstm_bayesoptimization_h22_con_PM,High (>30),1,192.03450109463856,13.857651355646041,0.44630118179822675,,0.2149016125922365,0.0
lstm_bayesoptimization_h22_senza_PM,Low (<20),64,5.415494837414519,1.8873473707122992,0.10738400287204826,-2.467010572684488,0.007962024003307807,59.375
lstm_bayesoptimization_h22_senza_PM,Medium (20-30),28,49.11993561152364,6.518207961950055,0.2699774989937506,-6.1582582281312535,0.06628261188726069,50.0
lstm_bayesoptimization_h22_senza_PM,High (>30),1,238.00240910763623,15.427326699970939,0.49685433422158565,,0.30062044685924816,0.0
lstm_gridsearch_h22_con_PM,Low (<20),64,3.2530517619566144,1.4732553155175665,0.08556770483608953,-1.0826102121404722,0.005144917079626683,67.1875
lstm_gridsearch_h22_con_PM,Medium (20-30),28,42.17702371905386,5.746393477598426,0.23411343732577708,-5.146466262960139,0.05386379351962156,53.57142857142857
lstm_gridsearch_h22_con_PM,High (>30),1,204.82862660428407,14.311835193443365,0.4609286809581051,,0.2371347158556114,0.0
lstm_gridsearch_h22_senza_PM,Low (<20),64,6.601158492459035,2.0464260402054135,0.11735362884260908,-3.2260748043198033,0.010256663495522487,53.125
lstm_gridsearch_h22_senza_PM,Medium (20-30),28,47.61640080561459,6.385843305825003,0.26435150698229165,-5.939147794420603,0.06428195473805963,53.57142857142857
lstm_gridsearch_h22_senza_PM,High (>30),1,194.8932029101059,13.960415570824026,0.449610818438913,,0.21976652913966666,0.0
random_forest_bayesoptimization_h22_con_PM,Low (<20),64,8.887670632098361,2.3959208507836802,0.14027322974536544,-4.689904426671669,0.011564256344163186,59.375
random_forest_bayesoptimization_h22_con_PM,Medium (20-30),28,25.37971895918832,4.284448503383551,0.17412045753922717,-2.6985916167334585,0.02882998209940335,60.71428571428571
random_forest_bayesoptimization_h22_con_PM,High (>30),1,148.494461621467,12.185830362411377,0.3924583143536134,,0.14764310294276406,0.0
random_forest_bayesoptimization_h22_senza_PM,Low (<20),64,8.021714897529082,2.2892791258781604,0.13441282595180548,-4.135517841998677,0.01084383813081696,59.375
random_forest_bayesoptimization_h22_senza_PM,Medium (20-30),28,28.675397334225057,4.702470823008397,0.1927184414160501,-3.178871498041902,0.0340288741380152,60.71428571428571
